app_download,population,city,state,date,post,treated,app_per_pop
3135.84506892949,12396372,Vermont,Vermont,2022-05-12,1,1,0.00025296474395327
2884.19056526732,12396372,Vermont,Vermont,2022-05-13,1,1,0.000232664086336496
2144.03116742279,12396372,Vermont,Vermont,2022-05-14,1,1,0.000172956342986705
2579.14589956693,12396372,Vermont,Vermont,2022-05-15,1,1,0.000208056510369883
5571.53569436264,12396372,Vermont,Vermont,2022-05-16,1,1,0.000449448894754259
4965.13669747753,12396372,Vermont,Vermont,2022-05-17,1,1,0.000400531437542979
4901.86216161535,12396372,Vermont,Vermont,2022-05-18,1,1,0.000395427158979688
4274.85182075805,12396372,Vermont,Vermont,2022-05-19,1,1,0.00034484701013797
4144.78318256051,12396372,Vermont,Vermont,2022-05-20,1,1,0.000334354533936261
3410.765044962,12396372,Vermont,Vermont,2022-05-21,1,1,0.00027514219845629
4267.2,12396372,Vermont,Vermont,2022-05-22,1,1,0.00034422974721959
6662.04394754268,12396372,Vermont,Vermont,2022-05-23,1,1,0.000537418847025781
5910.74839843759,12396372,Vermont,Vermont,2022-05-24,1,1,0.000476812764124664
6293.33863882506,12396372,Vermont,Vermont,2022-05-25,1,1,0.000507675845709136
5382.21973576969,12396372,Vermont,Vermont,2022-05-26,1,1,0.000434177010480945
5413.63616086841,12396372,Vermont,Vermont,2022-05-27,1,1,0.000436711334644395
5301.15234448916,12396372,Vermont,Vermont,2022-05-28,1,1,0.000427637404273537
5894.80380404957,12396372,Vermont,Vermont,2022-05-29,1,1,0.000475526533412322
7732.72529238726,12396372,Vermont,Vermont,2022-05-30,1,1,0.000623789387119656
8003.82781980576,12396372,Vermont,Vermont,2022-05-31,1,1,0.000645658892763605
4689.99664010534,12396372,Vermont,Vermont,2022-06-01,1,1,0.000378336229350437
4633.02052560559,12396372,Vermont,Vermont,2022-06-02,1,1,0.000373740036649883
3154.18792803647,12396372,Vermont,Vermont,2022-06-03,1,1,0.000254444439714819
2918.11970400146,12396372,Vermont,Vermont,2022-06-04,1,1,0.000235401108001717
3293.15872504711,12396372,Vermont,Vermont,2022-06-05,1,1,0.000265655042059653
4566.60893006972,12396372,Vermont,Vermont,2022-06-06,1,1,0.000368382695361975
4019.03342215955,12396372,Vermont,Vermont,2022-06-07,1,1,0.000324210456265716
3520.54510676569,12396372,Vermont,Vermont,2022-06-08,1,1,0.000283998020288976
2378.26737428165,12396372,Vermont,Vermont,2022-06-09,1,1,0.000191851888139663
1699.16827456103,12396372,Vermont,Vermont,2022-06-10,1,1,0.000137069803532923
1969.65960019655,12396372,Vermont,Vermont,2022-06-11,1,1,0.000158890004284846
2523.91399929116,12396372,Vermont,Vermont,2022-06-12,1,1,0.000203601021273899
4448.01439538175,12396372,Vermont,Vermont,2022-06-13,1,1,0.000358815820901611
3963.79577710722,12396372,Vermont,Vermont,2022-06-14,1,1,0.00031975450374571
3681.71522097919,12396372,Vermont,Vermont,2022-06-15,1,1,0.000296999414101093
3476.97333199229,12396372,Vermont,Vermont,2022-06-16,1,1,0.000280483139098463
2791.90030495271,12396372,Vermont,Vermont,2022-06-17,1,1,0.000225219145162206
2563.67353258261,12396372,Vermont,Vermont,2022-06-18,1,1,0.000206808373658245
3013.7476299551,12396372,Vermont,Vermont,2022-06-19,1,1,0.00024311529453578
5344.99192479032,12396372,Vermont,Vermont,2022-06-20,1,1,0.000431173889004809
4713.68827707732,12396372,Vermont,Vermont,2022-06-21,1,1,0.000380247404408106
3822.52917131895,12396372,Vermont,Vermont,2022-06-22,1,1,0.000308358701345761
3859.77157928789,12396372,Vermont,Vermont,2022-06-23,1,1,0.000311363000342995
3894.74819475935,12396372,Vermont,Vermont,2022-06-24,1,1,0.000314184520661315
3643.22944869893,12396372,Vermont,Vermont,2022-06-25,1,1,0.000293894814442397
4136.9741990005,12396372,Vermont,Vermont,2022-06-26,1,1,0.000333724592888992
5656.2414927225,12396372,Vermont,Vermont,2022-06-27,1,1,0.000456282006761535
5408.68624249843,12396372,Vermont,Vermont,2022-06-28,1,1,0.000436312030850513
5266.37604886947,12396372,Vermont,Vermont,2022-06-29,1,1,0.000424832043509945
4818.63041318992,12396372,Vermont,Vermont,2022-06-30,1,1,0.000388712956757826
1015,6775561,Pennsylvania,Pennsylvania,2022-03-01,0,0,0.000149803093795481
718,6775561,Pennsylvania,Pennsylvania,2022-03-02,0,0,0.000105969085069118
563,6775561,Pennsylvania,Pennsylvania,2022-03-03,0,0,8.30927505486262e-05
342,6775561,Pennsylvania,Pennsylvania,2022-03-04,0,0,5.04755252000535e-05
226,6775561,Pennsylvania,Pennsylvania,2022-03-05,0,0,3.33551716234272e-05
340,6775561,Pennsylvania,Pennsylvania,2022-03-06,0,0,5.01803466901117e-05
754,6775561,Pennsylvania,Pennsylvania,2022-03-07,0,0,0.000111282298248071
860,6775561,Pennsylvania,Pennsylvania,2022-03-08,0,0,0.000126926759274988
570,6775561,Pennsylvania,Pennsylvania,2022-03-09,0,0,8.41258753334226e-05
401,6775561,Pennsylvania,Pennsylvania,2022-03-10,0,0,5.91832912433376e-05
206,6775561,Pennsylvania,Pennsylvania,2022-03-11,0,0,3.04033865240089e-05
144,6775561,Pennsylvania,Pennsylvania,2022-03-12,0,0,2.1252852715812e-05
522,6775561,Pennsylvania,Pennsylvania,2022-03-13,0,0,7.70415910948186e-05
959,6775561,Pennsylvania,Pennsylvania,2022-03-14,0,0,0.000141538095517109
920,6775561,Pennsylvania,Pennsylvania,2022-03-15,0,0,0.000135782114573243
556,6775561,Pennsylvania,Pennsylvania,2022-03-16,0,0,8.20596257638297e-05
532,6775561,Pennsylvania,Pennsylvania,2022-03-17,0,0,7.85174836445277e-05
548,6775561,Pennsylvania,Pennsylvania,2022-03-18,0,0,8.08789117240624e-05
390,6775561,Pennsylvania,Pennsylvania,2022-03-19,0,0,5.75598094386575e-05
859,6775561,Pennsylvania,Pennsylvania,2022-03-20,0,0,0.000126779170020018
1088,6775561,Pennsylvania,Pennsylvania,2022-03-21,0,0,0.000160577109408357
1056,6775561,Pennsylvania,Pennsylvania,2022-03-22,0,0,0.000155854253249288
804,6775561,Pennsylvania,Pennsylvania,2022-03-23,0,0,0.000118661760996617
803,6775561,Pennsylvania,Pennsylvania,2022-03-24,0,0,0.000118514171741646
635,6775561,Pennsylvania,Pennsylvania,2022-03-25,0,0,9.37191769065322e-05
678,6775561,Pennsylvania,Pennsylvania,2022-03-26,0,0,0.000100065514870282
699,6775561,Pennsylvania,Pennsylvania,2022-03-27,0,0,0.000103164889224671
1303,6775561,Pennsylvania,Pennsylvania,2022-03-28,0,0,0.000192308799227105
1255,6775561,Pennsylvania,Pennsylvania,2022-03-29,0,0,0.000185224514988501
1113,6775561,Pennsylvania,Pennsylvania,2022-03-30,0,0,0.00016426684078263
1006,6775561,Pennsylvania,Pennsylvania,2022-03-31,0,0,0.000148474790500742
511,6775561,Pennsylvania,Pennsylvania,2022-04-01,0,0,7.54181092901385e-05
477,6775561,Pennsylvania,Pennsylvania,2022-04-02,0,0,7.04000746211273e-05
499,6775561,Pennsylvania,Pennsylvania,2022-04-03,0,0,7.36470382304875e-05
1033,6775561,Pennsylvania,Pennsylvania,2022-04-04,0,0,0.000152459700384957
812,6775561,Pennsylvania,Pennsylvania,2022-04-05,0,0,0.000119842475036384
561,6775561,Pennsylvania,Pennsylvania,2022-04-06,0,0,8.27975720386843e-05
505,6775561,Pennsylvania,Pennsylvania,2022-04-07,0,0,7.4532573760313e-05
591,6775561,Pennsylvania,Pennsylvania,2022-04-08,0,0,8.72252496878118e-05
299,6775561,Pennsylvania,Pennsylvania,2022-04-09,0,0,4.41291872363041e-05
241,6775561,Pennsylvania,Pennsylvania,2022-04-10,0,0,3.55690104479909e-05
797,6775561,Pennsylvania,Pennsylvania,2022-04-11,0,0,0.000117628636211821
658,6775561,Pennsylvania,Pennsylvania,2022-04-12,0,0,9.71137297708632e-05
614,6775561,Pennsylvania,Pennsylvania,2022-04-13,0,0,9.06198025521429e-05
463,6775561,Pennsylvania,Pennsylvania,2022-04-14,0,0,6.83338250515345e-05
492,6775561,Pennsylvania,Pennsylvania,2022-04-15,0,0,7.26139134456911e-05
271,6775561,Pennsylvania,Pennsylvania,2022-04-16,0,0,3.99966880971184e-05
494,6775561,Pennsylvania,Pennsylvania,2022-04-17,0,0,7.29090919556329e-05
1018,6775561,Pennsylvania,Pennsylvania,2022-04-18,0,0,0.000150245861560393
938,6775561,Pennsylvania,Pennsylvania,2022-04-19,0,0,0.00013843872116272
900,6775561,Pennsylvania,Pennsylvania,2022-04-20,0,0,0.000132830329473825
743,6775561,Pennsylvania,Pennsylvania,2022-04-21,0,0,0.000109658816443391
667,6775561,Pennsylvania,Pennsylvania,2022-04-22,0,0,9.84420330656015e-05
638,6775561,Pennsylvania,Pennsylvania,2022-04-23,0,0,9.41619446714449e-05
818,6775561,Pennsylvania,Pennsylvania,2022-04-24,0,0,0.00012072801056621
1328,6775561,Pennsylvania,Pennsylvania,2022-04-25,0,0,0.000195998530601378
1071,6775561,Pennsylvania,Pennsylvania,2022-04-26,0,0,0.000158068092073852
881,6775561,Pennsylvania,Pennsylvania,2022-04-27,0,0,0.000130026133629378
952,6775561,Pennsylvania,Pennsylvania,2022-04-28,0,0,0.000140504970732313
863,6775561,Pennsylvania,Pennsylvania,2022-04-29,0,0,0.000127369527039901
740,6775561,Pennsylvania,Pennsylvania,2022-04-30,0,0,0.000109216048678478
624,6775561,Pennsylvania,Pennsylvania,2022-05-01,1,0,9.20956951018521e-05
1044,6775561,Pennsylvania,Pennsylvania,2022-05-02,1,0,0.000154083182189637
756,6775561,Pennsylvania,Pennsylvania,2022-05-03,1,0,0.000111577476758013
777,6775561,Pennsylvania,Pennsylvania,2022-05-04,1,0,0.000114676851112402
640,6775561,Pennsylvania,Pennsylvania,2022-05-05,1,0,9.44571231813868e-05
612,6775561,Pennsylvania,Pennsylvania,2022-05-06,1,0,9.03246240422011e-05
457,6775561,Pennsylvania,Pennsylvania,2022-05-07,1,0,6.7448289521709e-05
449,6775561,Pennsylvania,Pennsylvania,2022-05-08,1,0,6.62675754819416e-05
1009,6775561,Pennsylvania,Pennsylvania,2022-05-09,1,0,0.000148917558265655
772,6775561,Pennsylvania,Pennsylvania,2022-05-10,1,0,0.000113938904837548
727,6775561,Pennsylvania,Pennsylvania,2022-05-11,1,0,0.000107297388363857
528,6775561,Pennsylvania,Pennsylvania,2022-05-12,1,0,7.79271266246441e-05
339,6775561,Pennsylvania,Pennsylvania,2022-05-13,1,0,5.00327574351408e-05
373,6775561,Pennsylvania,Pennsylvania,2022-05-14,1,0,5.5050792104152e-05
550,6775561,Pennsylvania,Pennsylvania,2022-05-15,1,0,8.11740902340042e-05
943,6775561,Pennsylvania,Pennsylvania,2022-05-16,1,0,0.000139176667437575
963,6775561,Pennsylvania,Pennsylvania,2022-05-17,1,0,0.000142128452536993
782,6775561,Pennsylvania,Pennsylvania,2022-05-18,1,0,0.000115414797387257
718,6775561,Pennsylvania,Pennsylvania,2022-05-19,1,0,0.000105969085069118
683,6775561,Pennsylvania,Pennsylvania,2022-05-20,1,0,0.000100803461145136
465,6775561,Pennsylvania,Pennsylvania,2022-05-21,1,0,6.86290035614763e-05
649,6775561,Pennsylvania,Pennsylvania,2022-05-22,1,0,9.5785426476125e-05
1358,6775561,Pennsylvania,Pennsylvania,2022-05-23,1,0,0.000200426208250505
1053,6775561,Pennsylvania,Pennsylvania,2022-05-24,1,0,0.000155411485484375
1135,6775561,Pennsylvania,Pennsylvania,2022-05-25,1,0,0.000167513804391991
825,6775561,Pennsylvania,Pennsylvania,2022-05-26,1,0,0.000121761135351006
745,6775561,Pennsylvania,Pennsylvania,2022-05-27,1,0,0.000109953994953333
803,6775561,Pennsylvania,Pennsylvania,2022-05-28,1,0,0.000118514171741646
800,6775561,Pennsylvania,Pennsylvania,2022-05-29,1,0,0.000118071403976733
1496,6775561,Pennsylvania,Pennsylvania,2022-05-30,1,0,0.000220793525436492
1309,6775561,Pennsylvania,Pennsylvania,2022-05-31,1,0,0.00019319433475693
807,6775561,Pennsylvania,Pennsylvania,2022-06-01,1,0,0.00011910452876153
773,6775561,Pennsylvania,Pennsylvania,2022-06-02,1,0,0.000114086494092519
555,6775561,Pennsylvania,Pennsylvania,2022-06-03,1,0,8.19120365088588e-05
486,6775561,Pennsylvania,Pennsylvania,2022-06-04,1,0,7.17283779158656e-05
593,6775561,Pennsylvania,Pennsylvania,2022-06-05,1,0,8.75204281977537e-05
1064,6775561,Pennsylvania,Pennsylvania,2022-06-06,1,0,0.000157034967289055
886,6775561,Pennsylvania,Pennsylvania,2022-06-07,1,0,0.000130764079904232
680,6775561,Pennsylvania,Pennsylvania,2022-06-08,1,0,0.000100360693380223
518,6775561,Pennsylvania,Pennsylvania,2022-06-09,1,0,7.64512340749349e-05
412,6775561,Pennsylvania,Pennsylvania,2022-06-10,1,0,6.08067730480177e-05
309,6775561,Pennsylvania,Pennsylvania,2022-06-11,1,0,4.56050797860133e-05
526,6775561,Pennsylvania,Pennsylvania,2022-06-12,1,0,7.76319481147022e-05
989,6775561,Pennsylvania,Pennsylvania,2022-06-13,1,0,0.000145965773166237
943,6775561,Pennsylvania,Pennsylvania,2022-06-14,1,0,0.000139176667437575
666,6775561,Pennsylvania,Pennsylvania,2022-06-15,1,0,9.82944438106306e-05
807,6775561,Pennsylvania,Pennsylvania,2022-06-16,1,0,0.00011910452876153
717,6775561,Pennsylvania,Pennsylvania,2022-06-17,1,0,0.000105821495814147
585,6775561,Pennsylvania,Pennsylvania,2022-06-18,1,0,8.63397141579863e-05
664,6775561,Pennsylvania,Pennsylvania,2022-06-19,1,0,9.79992653006888e-05
1290,6775561,Pennsylvania,Pennsylvania,2022-06-20,1,0,0.000190390138912483
1149,6775561,Pennsylvania,Pennsylvania,2022-06-21,1,0,0.000169580053961583
846,6775561,Pennsylvania,Pennsylvania,2022-06-22,1,0,0.000124860509705396
834,6775561,Pennsylvania,Pennsylvania,2022-06-23,1,0,0.000123089438645745
848,6775561,Pennsylvania,Pennsylvania,2022-06-24,1,0,0.000125155688215337
679,6775561,Pennsylvania,Pennsylvania,2022-06-25,1,0,0.000100213104125253
805,6775561,Pennsylvania,Pennsylvania,2022-06-26,1,0,0.000118809350251588
1395,6775561,Pennsylvania,Pennsylvania,2022-06-27,1,0,0.000205887010684429
1364,6775561,Pennsylvania,Pennsylvania,2022-06-28,1,0,0.000201311743780331
1103,6775561,Pennsylvania,Pennsylvania,2022-06-29,1,0,0.000162790948232921
1153,6775561,Pennsylvania,Pennsylvania,2022-06-30,1,0,0.000170170410981467
449,3094325,Connecticut,Connecticut,2022-03-01,0,0,0.00014510434424309
367,3094325,Connecticut,Connecticut,2022-03-02,0,0,0.00011860421901384
219,3094325,Connecticut,Connecticut,2022-03-03,0,0,7.0774724697632e-05
265,3094325,Connecticut,Connecticut,2022-03-04,0,0,8.56406486067236e-05
135,3094325,Connecticut,Connecticut,2022-03-05,0,0,4.3628254950595e-05
249,3094325,Connecticut,Connecticut,2022-03-06,0,0,8.04698924644309e-05
478,3094325,Connecticut,Connecticut,2022-03-07,0,0,0.000154476339750996
287,3094325,Connecticut,Connecticut,2022-03-08,0,0,9.27504383023761e-05
157,3094325,Connecticut,Connecticut,2022-03-09,0,0,5.07380446462476e-05
234,3094325,Connecticut,Connecticut,2022-03-10,0,0,7.56223085810314e-05
173,3094325,Connecticut,Connecticut,2022-03-11,0,0,5.59088007885403e-05
98,3094325,Connecticut,Connecticut,2022-03-12,0,0,3.16708813715431e-05
168,3094325,Connecticut,Connecticut,2022-03-13,0,0,5.42929394940738e-05
446,3094325,Connecticut,Connecticut,2022-03-14,0,0,0.00014413482746641
345,3094325,Connecticut,Connecticut,2022-03-15,0,0,0.000111494429318187
408,3094325,Connecticut,Connecticut,2022-03-16,0,0,0.000131854281628465
316,3094325,Connecticut,Connecticut,2022-03-17,0,0,0.000102122433810282
245,3094325,Connecticut,Connecticut,2022-03-18,0,0,7.91772034288577e-05
250,3094325,Connecticut,Connecticut,2022-03-19,0,0,8.07930647233242e-05
326,3094325,Connecticut,Connecticut,2022-03-20,0,0,0.000105354156399215
442,3094325,Connecticut,Connecticut,2022-03-21,0,0,0.000142842138430837
389,3094325,Connecticut,Connecticut,2022-03-22,0,0,0.000125714008709492
465,3094325,Connecticut,Connecticut,2022-03-23,0,0,0.000150275100385383
313,3094325,Connecticut,Connecticut,2022-03-24,0,0,0.000101152917033602
281,3094325,Connecticut,Connecticut,2022-03-25,0,0,9.08114047490163e-05
312,3094325,Connecticut,Connecticut,2022-03-26,0,0,0.000100829744774709
358,3094325,Connecticut,Connecticut,2022-03-27,0,0,0.0001156956686838
623,3094325,Connecticut,Connecticut,2022-03-28,0,0,0.000201336317290524
491,3094325,Connecticut,Connecticut,2022-03-29,0,0,0.000158677579116609
597,3094325,Connecticut,Connecticut,2022-03-30,0,0,0.000192933838559298
554,3094325,Connecticut,Connecticut,2022-03-31,0,0,0.000179037431426886
151,3094325,Connecticut,Connecticut,2022-04-01,0,0,4.87990110928878e-05
174,3094325,Connecticut,Connecticut,2022-04-02,0,0,5.62319730474336e-05
293,3094325,Connecticut,Connecticut,2022-04-03,0,0,9.46894718557359e-05
335,3094325,Connecticut,Connecticut,2022-04-04,0,0,0.000108262706729254
447,3094325,Connecticut,Connecticut,2022-04-05,0,0,0.000144457999725304
349,3094325,Connecticut,Connecticut,2022-04-06,0,0,0.000112787118353761
126,3094325,Connecticut,Connecticut,2022-04-07,0,0,4.07197046205554e-05
157,3094325,Connecticut,Connecticut,2022-04-08,0,0,5.07380446462476e-05
163,3094325,Connecticut,Connecticut,2022-04-09,0,0,5.26770781996073e-05
106,3094325,Connecticut,Connecticut,2022-04-10,0,0,3.42562594426894e-05
283,3094325,Connecticut,Connecticut,2022-04-11,0,0,9.14577492668029e-05
109,3094325,Connecticut,Connecticut,2022-04-12,0,0,3.52257762193693e-05
264,3094325,Connecticut,Connecticut,2022-04-13,0,0,8.53174763478303e-05
296,3094325,Connecticut,Connecticut,2022-04-14,0,0,9.56589886324158e-05
155,3094325,Connecticut,Connecticut,2022-04-15,0,0,5.0091700128461e-05
193,3094325,Connecticut,Connecticut,2022-04-16,0,0,6.23722459664062e-05
250,3094325,Connecticut,Connecticut,2022-04-17,0,0,8.07930647233242e-05
471,3094325,Connecticut,Connecticut,2022-04-18,0,0,0.000152214133938743
327,3094325,Connecticut,Connecticut,2022-04-19,0,0,0.000105677328658108
488,3094325,Connecticut,Connecticut,2022-04-20,0,0,0.000157708062339929
292,3094325,Connecticut,Connecticut,2022-04-21,0,0,9.43662995968426e-05
307,3094325,Connecticut,Connecticut,2022-04-22,0,0,9.92138834802421e-05
176,3094325,Connecticut,Connecticut,2022-04-23,0,0,5.68783175652202e-05
321,3094325,Connecticut,Connecticut,2022-04-24,0,0,0.000103738295104748
589,3094325,Connecticut,Connecticut,2022-04-25,0,0,0.000190348460488152
612,3094325,Connecticut,Connecticut,2022-04-26,0,0,0.000197781422442698
463,3094325,Connecticut,Connecticut,2022-04-27,0,0,0.000149628755867596
332,3094325,Connecticut,Connecticut,2022-04-28,0,0,0.000107293189952574
451,3094325,Connecticut,Connecticut,2022-04-29,0,0,0.000145750688760877
356,3094325,Connecticut,Connecticut,2022-04-30,0,0,0.000115049324166014
250,3094325,Connecticut,Connecticut,2022-05-01,1,0,8.07930647233242e-05
395,3094325,Connecticut,Connecticut,2022-05-02,1,0,0.000127653042262852
345,3094325,Connecticut,Connecticut,2022-05-03,1,0,0.000111494429318187
264,3094325,Connecticut,Connecticut,2022-05-04,1,0,8.53174763478303e-05
216,3094325,Connecticut,Connecticut,2022-05-05,1,0,6.98052079209521e-05
238,3094325,Connecticut,Connecticut,2022-05-06,1,0,7.69149976166046e-05
96,3094325,Connecticut,Connecticut,2022-05-07,1,0,3.10245368537565e-05
164,3094325,Connecticut,Connecticut,2022-05-08,1,0,5.30002504585006e-05
288,3094325,Connecticut,Connecticut,2022-05-09,1,0,9.30736105612694e-05
246,3094325,Connecticut,Connecticut,2022-05-10,1,0,7.9500375687751e-05
135,3094325,Connecticut,Connecticut,2022-05-11,1,0,4.3628254950595e-05
226,3094325,Connecticut,Connecticut,2022-05-12,1,0,7.3036930509885e-05
125,3094325,Connecticut,Connecticut,2022-05-13,1,0,4.03965323616621e-05
127,3094325,Connecticut,Connecticut,2022-05-14,1,0,4.10428768794487e-05
126,3094325,Connecticut,Connecticut,2022-05-15,1,0,4.07197046205554e-05
315,3094325,Connecticut,Connecticut,2022-05-16,1,0,0.000101799261551388
372,3094325,Connecticut,Connecticut,2022-05-17,1,0,0.000120220080308306
354,3094325,Connecticut,Connecticut,2022-05-18,1,0,0.000114402979648227
240,3094325,Connecticut,Connecticut,2022-05-19,1,0,7.75613421343912e-05
260,3094325,Connecticut,Connecticut,2022-05-20,1,0,8.40247873122571e-05
278,3094325,Connecticut,Connecticut,2022-05-21,1,0,8.98418879723365e-05
247,3094325,Connecticut,Connecticut,2022-05-22,1,0,7.98235479466443e-05
494,3094325,Connecticut,Connecticut,2022-05-23,1,0,0.000159647095893289
501,3094325,Connecticut,Connecticut,2022-05-24,1,0,0.000161909301705542
473,3094325,Connecticut,Connecticut,2022-05-25,1,0,0.000152860478456529
402,3094325,Connecticut,Connecticut,2022-05-26,1,0,0.000129915248075105
368,3094325,Connecticut,Connecticut,2022-05-27,1,0,0.000118927391272733
312,3094325,Connecticut,Connecticut,2022-05-28,1,0,0.000100829744774709
392,3094325,Connecticut,Connecticut,2022-05-29,1,0,0.000126683525486172
656,3094325,Connecticut,Connecticut,2022-05-30,1,0,0.000212001001834003
530,3094325,Connecticut,Connecticut,2022-05-31,1,0,0.000171281297213447
319,3094325,Connecticut,Connecticut,2022-06-01,1,0,0.000103091950586962
285,3094325,Connecticut,Connecticut,2022-06-02,1,0,9.21040937845895e-05
187,3094325,Connecticut,Connecticut,2022-06-03,1,0,6.04332124130465e-05
106,3094325,Connecticut,Connecticut,2022-06-04,1,0,3.42562594426894e-05
251,3094325,Connecticut,Connecticut,2022-06-05,1,0,8.11162369822174e-05
247,3094325,Connecticut,Connecticut,2022-06-06,1,0,7.98235479466443e-05
182,3094325,Connecticut,Connecticut,2022-06-07,1,0,5.881735111858e-05
