rrrr,pppp,pppp,ssss,dddd,p,tttt
2682.206346606425,12396372,Vermont,Vermont,5/5/22,1,1
2282.578487728458,12396372,Vermont,Vermont,5/6/22,1,1
1453.8491457925652,12396372,Vermont,Vermont,5/7/22,1,1
1919.867959932948,12396372,Vermont,Vermont,5/8/22,1,1
3694.349642565865,12396372,Vermont,Vermont,5/9/22,1,1
3463.722996400141,12396372,Vermont,Vermont,5/10/22,1,1
3355.571353836266,12396372,Vermont,Vermont,5/11/22,1,1
3135.845068929492,12396372,Vermont,Vermont,5/12/22,1,1
2884.190565267317,12396372,Vermont,Vermont,5/13/22,1,1
2144.0311674227887,12396372,Vermont,Vermont,5/14/22,1,1
2579.1458995669345,12396372,Vermont,Vermont,5/15/22,1,1
5571.535694362645,12396372,Vermont,Vermont,5/16/22,1,1
4965.136697477534,12396372,Vermont,Vermont,5/17/22,1,1
4901.8621616153505,12396372,Vermont,Vermont,5/18/22,1,1
4274.851820758049,12396372,Vermont,Vermont,5/19/22,1,1
4144.783182560512,12396372,Vermont,Vermont,5/20/22,1,1
3410.7650449620032,12396372,Vermont,Vermont,5/21/22,1,1
4267.2,12396372,Vermont,Vermont,5/22/22,1,1
6662.043947542682,12396372,Vermont,Vermont,5/23/22,1,1
5910.748398437591,12396372,Vermont,Vermont,5/24/22,1,1
6293.338638825062,12396372,Vermont,Vermont,5/25/22,1,1
5382.219735769693,12396372,Vermont,Vermont,5/26/22,1,1
5413.636160868411,12396372,Vermont,Vermont,5/27/22,1,1
5301.152344489164,12396372,Vermont,Vermont,5/28/22,1,1
5894.803804049571,12396372,Vermont,Vermont,5/29/22,1,1
7732.725292387257,12396372,Vermont,Vermont,5/30/22,1,1
8003.8278198057615,12396372,Vermont,Vermont,5/31/22,1,1
4689.996640105337,12396372,Vermont,Vermont,6/1/22,1,1
4633.020525605594,12396372,Vermont,Vermont,6/2/22,1,1
3154.187928036465,12396372,Vermont,Vermont,6/3/22,1,1
2918.119704001462,12396372,Vermont,Vermont,6/4/22,1,1
3293.158725047112,12396372,Vermont,Vermont,6/5/22,1,1
4566.608930069721,12396372,Vermont,Vermont,6/6/22,1,1
4019.0334221595513,12396372,Vermont,Vermont,6/7/22,1,1
3520.5451067656904,12396372,Vermont,Vermont,6/8/22,1,1
2378.2673742816473,12396372,Vermont,Vermont,6/9/22,1,1
1699.168275,12396372,Vermont,Vermont,6/10/22,1,1
1969.6596001965463,12396372,Vermont,Vermont,6/11/22,1,1
2523.9139992911614,12396372,Vermont,Vermont,6/12/22,1,1
4448.014395381749,12396372,Vermont,Vermont,6/13/22,1,1
3963.7957771072174,12396372,Vermont,Vermont,6/14/22,1,1
3681.7152209791902,12396372,Vermont,Vermont,6/15/22,1,1
3476.973331992289,12396372,Vermont,Vermont,6/16/22,1,1
2791.9003049527087,12396372,Vermont,Vermont,6/17/22,1,1
2563.673532582615,12396372,Vermont,Vermont,6/18/22,1,1
3013.7476299550967,12396372,Vermont,Vermont,6/19/22,1,1
5344.991924790315,12396372,Vermont,Vermont,6/20/22,1,1
4713.6882770773245,12396372,Vermont,Vermont,6/21/22,1,1
3822.529171,12396372,Vermont,Vermont,6/22/22,1,1
3859.7715792878857,12396372,Vermont,Vermont,6/23/22,1,1
3894.748194759349,12396372,Vermont,Vermont,6/24/22,1,1
3643.2294486989304,12396372,Vermont,Vermont,6/25/22,1,1
4136.974199000503,12396372,Vermont,Vermont,6/26/22,1,1
5656.241492722504,12396372,Vermont,Vermont,6/27/22,1,1
5408.686242498428,12396372,Vermont,Vermont,6/28/22,1,1
5266.376048869474,12396372,Vermont,Vermont,6/29/22,1,1
4818.630413189917,12396372,Vermont,Vermont,6/30/22,1,1
1015,6775561,Pennsylvania,Pennsylvania,3/1/22,0,0
718,6775561,Pennsylvania,Pennsylvania,3/2/22,0,0
563,6775561,Pennsylvania,Pennsylvania,3/3/22,0,0
342,6775561,Pennsylvania,Pennsylvania,3/4/22,0,0
226,6775561,Pennsylvania,Pennsylvania,3/5/22,0,0
340,6775561,Pennsylvania,Pennsylvania,3/6/22,0,0
754,6775561,Pennsylvania,Pennsylvania,3/7/22,0,0
860,6775561,Pennsylvania,Pennsylvania,3/8/22,0,0
570,6775561,Pennsylvania,Pennsylvania,3/9/22,0,0
401,6775561,Pennsylvania,Pennsylvania,3/10/22,0,0
206,6775561,Pennsylvania,Pennsylvania,3/11/22,0,0
144,6775561,Pennsylvania,Pennsylvania,3/12/22,0,0
522,6775561,Pennsylvania,Pennsylvania,3/13/22,0,0
959,6775561,Pennsylvania,Pennsylvania,3/14/22,0,0
920,6775561,Pennsylvania,Pennsylvania,3/15/22,0,0
556,6775561,Pennsylvania,Pennsylvania,3/16/22,0,0
532,6775561,Pennsylvania,Pennsylvania,3/17/22,0,0
548,6775561,Pennsylvania,Pennsylvania,3/18/22,0,0
390,6775561,Pennsylvania,Pennsylvania,3/19/22,0,0
859,6775561,Pennsylvania,Pennsylvania,3/20/22,0,0
1088,6775561,Pennsylvania,Pennsylvania,3/21/22,0,0
1056,6775561,Pennsylvania,Pennsylvania,3/22/22,0,0
804,6775561,Pennsylvania,Pennsylvania,3/23/22,0,0
803,6775561,Pennsylvania,Pennsylvania,3/24/22,0,0
635,6775561,Pennsylvania,Pennsylvania,3/25/22,0,0
678,6775561,Pennsylvania,Pennsylvania,3/26/22,0,0
699,6775561,Pennsylvania,Pennsylvania,3/27/22,0,0
1303,6775561,Pennsylvania,Pennsylvania,3/28/22,0,0
1255,6775561,Pennsylvania,Pennsylvania,3/29/22,0,0
1113,6775561,Pennsylvania,Pennsylvania,3/30/22,0,0
1006,6775561,Pennsylvania,Pennsylvania,3/31/22,0,0
511,6775561,Pennsylvania,Pennsylvania,4/1/22,0,0
477,6775561,Pennsylvania,Pennsylvania,4/2/22,0,0
499,6775561,Pennsylvania,Pennsylvania,4/3/22,0,0
1033,6775561,Pennsylvania,Pennsylvania,4/4/22,0,0
812,6775561,Pennsylvania,Pennsylvania,4/5/22,0,0
561,6775561,Pennsylvania,Pennsylvania,4/6/22,0,0
505,6775561,Pennsylvania,Pennsylvania,4/7/22,0,0
591,6775561,Pennsylvania,Pennsylvania,4/8/22,0,0
299,6775561,Pennsylvania,Pennsylvania,4/9/22,0,0
241,6775561,Pennsylvania,Pennsylvania,4/10/22,0,0
797,6775561,Pennsylvania,Pennsylvania,4/11/22,0,0
658,6775561,Pennsylvania,Pennsylvania,4/12/22,0,0
614,6775561,Pennsylvania,Pennsylvania,4/13/22,0,0
463,6775561,Pennsylvania,Pennsylvania,4/14/22,0,0
492,6775561,Pennsylvania,Pennsylvania,4/15/22,0,0
271,6775561,Pennsylvania,Pennsylvania,4/16/22,0,0
494,6775561,Pennsylvania,Pennsylvania,4/17/22,0,0
1018,6775561,Pennsylvania,Pennsylvania,4/18/22,0,0
938,6775561,Pennsylvania,Pennsylvania,4/19/22,0,0
900,6775561,Pennsylvania,Pennsylvania,4/20/22,0,0
743,6775561,Pennsylvania,Pennsylvania,4/21/22,0,0
667,6775561,Pennsylvania,Pennsylvania,4/22/22,0,0
638,6775561,Pennsylvania,Pennsylvania,4/23/22,0,0
818,6775561,Pennsylvania,Pennsylvania,4/24/22,0,0
1328,6775561,Pennsylvania,Pennsylvania,4/25/22,0,0
1071,6775561,Pennsylvania,Pennsylvania,4/26/22,0,0
881,6775561,Pennsylvania,Pennsylvania,4/27/22,0,0
952,6775561,Pennsylvania,Pennsylvania,4/28/22,0,0
863,6775561,Pennsylvania,Pennsylvania,4/29/22,0,0
740,6775561,Pennsylvania,Pennsylvania,4/30/22,0,0
624,6775561,Pennsylvania,Pennsylvania,5/1/22,1,0
1044,6775561,Pennsylvania,Pennsylvania,5/2/22,1,0
756,6775561,Pennsylvania,Pennsylvania,5/3/22,1,0
777,6775561,Pennsylvania,Pennsylvania,5/4/22,1,0
640,6775561,Pennsylvania,Pennsylvania,5/5/22,1,0
612,6775561,Pennsylvania,Pennsylvania,5/6/22,1,0
457,6775561,Pennsylvania,Pennsylvania,5/7/22,1,0
449,6775561,Pennsylvania,Pennsylvania,5/8/22,1,0
1009,6775561,Pennsylvania,Pennsylvania,5/9/22,1,0
772,6775561,Pennsylvania,Pennsylvania,5/10/22,1,0
727,6775561,Pennsylvania,Pennsylvania,5/11/22,1,0
528,6775561,Pennsylvania,Pennsylvania,5/12/22,1,0
339,6775561,Pennsylvania,Pennsylvania,5/13/22,1,0
373,6775561,Pennsylvania,Pennsylvania,5/14/22,1,0
550,6775561,Pennsylvania,Pennsylvania,5/15/22,1,0
943,6775561,Pennsylvania,Pennsylvania,5/16/22,1,0
963,6775561,Pennsylvania,Pennsylvania,5/17/22,1,0
782,6775561,Pennsylvania,Pennsylvania,5/18/22,1,0
718,6775561,Pennsylvania,Pennsylvania,5/19/22,1,0
683,6775561,Pennsylvania,Pennsylvania,5/20/22,1,0
465,6775561,Pennsylvania,Pennsylvania,5/21/22,1,0
649,6775561,Pennsylvania,Pennsylvania,5/22/22,1,0
1358,6775561,Pennsylvania,Pennsylvania,5/23/22,1,0
1053,6775561,Pennsylvania,Pennsylvania,5/24/22,1,0
1135,6775561,Pennsylvania,Pennsylvania,5/25/22,1,0
825,6775561,Pennsylvania,Pennsylvania,5/26/22,1,0
745,6775561,Pennsylvania,Pennsylvania,5/27/22,1,0
803,6775561,Pennsylvania,Pennsylvania,5/28/22,1,0
800,6775561,Pennsylvania,Pennsylvania,5/29/22,1,0
1496,6775561,Pennsylvania,Pennsylvania,5/30/22,1,0
1309,6775561,Pennsylvania,Pennsylvania,5/31/22,1,0
807,6775561,Pennsylvania,Pennsylvania,6/1/22,1,0
773,6775561,Pennsylvania,Pennsylvania,6/2/22,1,0
555,6775561,Pennsylvania,Pennsylvania,6/3/22,1,0
486,6775561,Pennsylvania,Pennsylvania,6/4/22,1,0
593,6775561,Pennsylvania,Pennsylvania,6/5/22,1,0
1064,6775561,Pennsylvania,Pennsylvania,6/6/22,1,0
886,6775561,Pennsylvania,Pennsylvania,6/7/22,1,0
680,6775561,Pennsylvania,Pennsylvania,6/8/22,1,0
518,6775561,Pennsylvania,Pennsylvania,6/9/22,1,0
412,6775561,Pennsylvania,Pennsylvania,6/10/22,1,0
309,6775561,Pennsylvania,Pennsylvania,6/11/22,1,0
526,6775561,Pennsylvania,Pennsylvania,6/12/22,1,0
989,6775561,Pennsylvania,Pennsylvania,6/13/22,1,0
943,6775561,Pennsylvania,Pennsylvania,6/14/22,1,0
666,6775561,Pennsylvania,Pennsylvania,6/15/22,1,0
807,6775561,Pennsylvania,Pennsylvania,6/16/22,1,0
717,6775561,Pennsylvania,Pennsylvania,6/17/22,1,0
585,6775561,Pennsylvania,Pennsylvania,6/18/22,1,0
664,6775561,Pennsylvania,Pennsylvania,6/19/22,1,0
1290,6775561,Pennsylvania,Pennsylvania,6/20/22,1,0
1149,6775561,Pennsylvania,Pennsylvania,6/21/22,1,0
846,6775561,Pennsylvania,Pennsylvania,6/22/22,1,0
834,6775561,Pennsylvania,Pennsylvania,6/23/22,1,0
848,6775561,Pennsylvania,Pennsylvania,6/24/22,1,0
679,6775561,Pennsylvania,Pennsylvania,6/25/22,1,0
805,6775561,Pennsylvania,Pennsylvania,6/26/22,1,0
1395,6775561,Pennsylvania,Pennsylvania,6/27/22,1,0
1364,6775561,Pennsylvania,Pennsylvania,6/28/22,1,0
1103,6775561,Pennsylvania,Pennsylvania,6/29/22,1,0
1153,6775561,Pennsylvania,Pennsylvania,6/30/22,1,0
449,3094325,Connecticut,Connecticut,3/1/22,0,0
367,3094325,Connecticut,Connecticut,3/2/22,0,0
219,3094325,Connecticut,Connecticut,3/3/22,0,0
265,3094325,Connecticut,Connecticut,3/4/22,0,0
135,3094325,Connecticut,Connecticut,3/5/22,0,0
249,3094325,Connecticut,Connecticut,3/6/22,0,0
478,3094325,Connecticut,Connecticut,3/7/22,0,0
287,3094325,Connecticut,Connecticut,3/8/22,0,0
157,3094325,Connecticut,Connecticut,3/9/22,0,0
234,3094325,Connecticut,Connecticut,3/10/22,0,0
173,3094325,Connecticut,Connecticut,3/11/22,0,0
98,3094325,Connecticut,Connecticut,3/12/22,0,0
168,3094325,Connecticut,Connecticut,3/13/22,0,0
446,3094325,Connecticut,Connecticut,3/14/22,0,0
345,3094325,Connecticut,Connecticut,3/15/22,0,0
408,3094325,Connecticut,Connecticut,3/16/22,0,0
316,3094325,Connecticut,Connecticut,3/17/22,0,0
245,3094325,Connecticut,Connecticut,3/18/22,0,0
250,3094325,Connecticut,Connecticut,3/19/22,0,0
326,3094325,Connecticut,Connecticut,3/20/22,0,0
442,3094325,Connecticut,Connecticut,3/21/22,0,0
389,3094325,Connecticut,Connecticut,3/22/22,0,0
465,3094325,Connecticut,Connecticut,3/23/22,0,0
313,3094325,Connecticut,Connecticut,3/24/22,0,0
281,3094325,Connecticut,Connecticut,3/25/22,0,0
312,3094325,Connecticut,Connecticut,3/26/22,0,0
358,3094325,Connecticut,Connecticut,3/27/22,0,0
623,3094325,Connecticut,Connecticut,3/28/22,0,0
491,3094325,Connecticut,Connecticut,3/29/22,0,0
597,3094325,Connecticut,Connecticut,3/30/22,0,0
554,3094325,Connecticut,Connecticut,3/31/22,0,0
151,3094325,Connecticut,Connecticut,4/1/22,0,0
174,3094325,Connecticut,Connecticut,4/2/22,0,0
293,3094325,Connecticut,Connecticut,4/3/22,0,0
335,3094325,Connecticut,Connecticut,4/4/22,0,0
447,3094325,Connecticut,Connecticut,4/5/22,0,0
349,3094325,Connecticut,Connecticut,4/6/22,0,0
126,3094325,Connecticut,Connecticut,4/7/22,0,0
157,3094325,Connecticut,Connecticut,4/8/22,0,0
163,3094325,Connecticut,Connecticut,4/9/22,0,0
106,3094325,Connecticut,Connecticut,4/10/22,0,0
283,3094325,Connecticut,Connecticut,4/11/22,0,0
109,3094325,Connecticut,Connecticut,4/12/22,0,0
264,3094325,Connecticut,Connecticut,4/13/22,0,0
296,3094325,Connecticut,Connecticut,4/14/22,0,0
155,3094325,Connecticut,Connecticut,4/15/22,0,0
193,3094325,Connecticut,Connecticut,4/16/22,0,0
250,3094325,Connecticut,Connecticut,4/17/22,0,0
471,3094325,Connecticut,Connecticut,4/18/22,0,0
327,3094325,Connecticut,Connecticut,4/19/22,0,0
488,3094325,Connecticut,Connecticut,4/20/22,0,0
292,3094325,Connecticut,Connecticut,4/21/22,0,0
307,3094325,Connecticut,Connecticut,4/22/22,0,0
176,3094325,Connecticut,Connecticut,4/23/22,0,0
321,3094325,Connecticut,Connecticut,4/24/22,0,0
589,3094325,Connecticut,Connecticut,4/25/22,0,0
612,3094325,Connecticut,Connecticut,4/26/22,0,0
463,3094325,Connecticut,Connecticut,4/27/22,0,0
332,3094325,Connecticut,Connecticut,4/28/22,0,0
451,3094325,Connecticut,Connecticut,4/29/22,0,0
356,3094325,Connecticut,Connecticut,4/30/22,0,0
250,3094325,Connecticut,Connecticut,5/1/22,1,0
395,3094325,Connecticut,Connecticut,5/2/22,1,0
345,3094325,Connecticut,Connecticut,5/3/22,1,0
264,3094325,Connecticut,Connecticut,5/4/22,1,0
216,3094325,Connecticut,Connecticut,5/5/22,1,0
238,3094325,Connecticut,Connecticut,5/6/22,1,0
96,3094325,Connecticut,Connecticut,5/7/22,1,0
164,3094325,Connecticut,Connecticut,5/8/22,1,0
288,3094325,Connecticut,Connecticut,5/9/22,1,0
246,3094325,Connecticut,Connecticut,5/10/22,1,0
135,3094325,Connecticut,Connecticut,5/11/22,1,0
226,3094325,Connecticut,Connecticut,5/12/22,1,0
125,3094325,Connecticut,Connecticut,5/13/22,1,0
127,3094325,Connecticut,Connecticut,5/14/22,1,0
126,3094325,Connecticut,Connecticut,5/15/22,1,0
315,3094325,Connecticut,Connecticut,5/16/22,1,0
372,3094325,Connecticut,Connecticut,5/17/22,1,0
354,3094325,Connecticut,Connecticut,5/18/22,1,0
240,3094325,Connecticut,Connecticut,5/19/22,1,0
260,3094325,Connecticut,Connecticut,5/20/22,1,0
278,3094325,Connecticut,Connecticut,5/21/22,1,0
247,3094325,Connecticut,Connecticut,5/22/22,1,0
494,3094325,Connecticut,Connecticut,5/23/22,1,0
501,3094325,Connecticut,Connecticut,5/24/22,1,0
473,3094325,Connecticut,Connecticut,5/25/22,1,0
402,3094325,Connecticut,Connecticut,5/26/22,1,0
368,3094325,Connecticut,Connecticut,5/27/22,1,0
312,3094325,Connecticut,Connecticut,5/28/22,1,0
392,3094325,Connecticut,Connecticut,5/29/22,1,0
656,3094325,Connecticut,Connecticut,5/30/22,1,0
530,3094325,Connecticut,Connecticut,5/31/22,1,0
319,3094325,Connecticut,Connecticut,6/1/22,1,0
285,3094325,Connecticut,Connecticut,6/2/22,1,0
187,3094325,Connecticut,Connecticut,6/3/22,1,0
106,3094325,Connecticut,Connecticut,6/4/22,1,0
251,3094325,Connecticut,Connecticut,6/5/22,1,0
247,3094325,Connecticut,Connecticut,6/6/22,1,0
182,3094325,Connecticut,Connecticut,6/7/22,1,0
265,3094325,Connecticut,Connecticut,6/8/22,1,0
101,3094325,Connecticut,Connecticut,6/9/22,1,0
199,3094325,Connecticut,Connecticut,6/10/22,1,0
16,3094325,Connecticut,Connecticut,6/11/22,1,0
139,3094325,Connecticut,Connecticut,6/12/22,1,0
310,3094325,Connecticut,Connecticut,6/13/22,1,0
222,3094325,Connecticut,Connecticut,6/14/22,1,0
336,3094325,Connecticut,Connecticut,6/15/22,1,0
252,3094325,Connecticut,Connecticut,6/16/22,1,0
248,3094325,Connecticut,Connecticut,6/17/22,1,0
132,3094325,Connecticut,Connecticut,6/18/22,1,0
150,3094325,Connecticut,Connecticut,6/19/22,1,0
509,3094325,Connecticut,Connecticut,6/20/22,1,0
389,3094325,Connecticut,Connecticut,6/21/22,1,0
327,3094325,Connecticut,Connecticut,6/22/22,1,0
334,3094325,Connecticut,Connecticut,6/23/22,1,0
242,3094325,Connecticut,Connecticut,6/24/22,1,0
340,3094325,Connecticut,Connecticut,6/25/22,1,0
310,3094325,Connecticut,Connecticut,6/26/22,1,0
534,3094325,Connecticut,Connecticut,6/27/22,1,0
426,3094325,Connecticut,Connecticut,6/28/22,1,0
493,3094325,Connecticut,Connecticut,6/29/22,1,0
383,3094325,Connecticut,Connecticut,6/30/22,1,0
272,2900319,Rhode Island,Rhode Island,3/1/22,0,0
229,2900319,Rhode Island,Rhode Island,3/2/22,0,0
228,2900319,Rhode Island,Rhode Island,3/3/22,0,0
89,2900319,Rhode Island,Rhode Island,3/4/22,0,0
93,2900319,Rhode Island,Rhode Island,3/5/22,0,0
114,2900319,Rhode Island,Rhode Island,3/6/22,0,0
245,2900319,Rhode Island,Rhode Island,3/7/22,0,0
250,2900319,Rhode Island,Rhode Island,3/8/22,0,0
149,2900319,Rhode Island,Rhode Island,3/9/22,0,0
47,2900319,Rhode Island,Rhode Island,3/10/22,0,0
73,2900319,Rhode Island,Rhode Island,3/11/22,0,0
34,2900319,Rhode Island,Rhode Island,3/12/22,0,0
171,2900319,Rhode Island,Rhode Island,3/13/22,0,0
236,2900319,Rhode Island,Rhode Island,3/14/22,0,0
252,2900319,Rhode Island,Rhode Island,3/15/22,0,0
278,2900319,Rhode Island,Rhode Island,3/16/22,0,0
301,2900319,Rhode Island,Rhode Island,3/17/22,0,0
183,2900319,Rhode Island,Rhode Island,3/18/22,0,0
143,2900319,Rhode Island,Rhode Island,3/19/22,0,0
240,2900319,Rhode Island,Rhode Island,3/20/22,0,0
365,2900319,Rhode Island,Rhode Island,3/21/22,0,0
323,2900319,Rhode Island,Rhode Island,3/22/22,0,0
381,2900319,Rhode Island,Rhode Island,3/23/22,0,0
270,2900319,Rhode Island,Rhode Island,3/24/22,0,0
346,2900319,Rhode Island,Rhode Island,3/25/22,0,0
251,2900319,Rhode Island,Rhode Island,3/26/22,0,0
255,2900319,Rhode Island,Rhode Island,3/27/22,0,0
429,2900319,Rhode Island,Rhode Island,3/28/22,0,0
398,2900319,Rhode Island,Rhode Island,3/29/22,0,0
377,2900319,Rhode Island,Rhode Island,3/30/22,0,0
355,2900319,Rhode Island,Rhode Island,3/31/22,0,0
242,2900319,Rhode Island,Rhode Island,4/1/22,0,0
99,2900319,Rhode Island,Rhode Island,4/2/22,0,0
160,2900319,Rhode Island,Rhode Island,4/3/22,0,0
320,2900319,Rhode Island,Rhode Island,4/4/22,0,0
365,2900319,Rhode Island,Rhode Island,4/5/22,0,0
211,2900319,Rhode Island,Rhode Island,4/6/22,0,0
174,2900319,Rhode Island,Rhode Island,4/7/22,0,0
57,2900319,Rhode Island,Rhode Island,4/8/22,0,0
64,2900319,Rhode Island,Rhode Island,4/9/22,0,0
161,2900319,Rhode Island,Rhode Island,4/10/22,0,0
340,2900319,Rhode Island,Rhode Island,4/11/22,0,0
277,2900319,Rhode Island,Rhode Island,4/12/22,0,0
250,2900319,Rhode Island,Rhode Island,4/13/22,0,0
187,2900319,Rhode Island,Rhode Island,4/14/22,0,0
191,2900319,Rhode Island,Rhode Island,4/15/22,0,0
179,2900319,Rhode Island,Rhode Island,4/16/22,0,0
213,2900319,Rhode Island,Rhode Island,4/17/22,0,0
416,2900319,Rhode Island,Rhode Island,4/18/22,0,0
311,2900319,Rhode Island,Rhode Island,4/19/22,0,0
286,2900319,Rhode Island,Rhode Island,4/20/22,0,0
252,2900319,Rhode Island,Rhode Island,4/21/22,0,0
282,2900319,Rhode Island,Rhode Island,4/22/22,0,0
179,2900319,Rhode Island,Rhode Island,4/23/22,0,0
363,2900319,Rhode Island,Rhode Island,4/24/22,0,0
527,2900319,Rhode Island,Rhode Island,4/25/22,0,0
467,2900319,Rhode Island,Rhode Island,4/26/22,0,0
412,2900319,Rhode Island,Rhode Island,4/27/22,0,0
366,2900319,Rhode Island,Rhode Island,4/28/22,0,0
264,2900319,Rhode Island,Rhode Island,4/29/22,0,0
274,2900319,Rhode Island,Rhode Island,4/30/22,0,0
200,2900319,Rhode Island,Rhode Island,5/1/22,1,0
384,2900319,Rhode Island,Rhode Island,5/2/22,1,0
306,2900319,Rhode Island,Rhode Island,5/3/22,1,0
236,2900319,Rhode Island,Rhode Island,5/4/22,1,0
149,2900319,Rhode Island,Rhode Island,5/5/22,1,0
126,2900319,Rhode Island,Rhode Island,5/6/22,1,0
90,2900319,Rhode Island,Rhode Island,5/7/22,1,0
182,2900319,Rhode Island,Rhode Island,5/8/22,1,0
326,2900319,Rhode Island,Rhode Island,5/9/22,1,0
300,2900319,Rhode Island,Rhode Island,5/10/22,1,0
210,2900319,Rhode Island,Rhode Island,5/11/22,1,0
178,2900319,Rhode Island,Rhode Island,5/12/22,1,0
177,2900319,Rhode Island,Rhode Island,5/13/22,1,0
173,2900319,Rhode Island,Rhode Island,5/14/22,1,0
201,2900319,Rhode Island,Rhode Island,5/15/22,1,0
412,2900319,Rhode Island,Rhode Island,5/16/22,1,0
365,2900319,Rhode Island,Rhode Island,5/17/22,1,0
285,2900319,Rhode Island,Rhode Island,5/18/22,1,0
336,2900319,Rhode Island,Rhode Island,5/19/22,1,0
208,2900319,Rhode Island,Rhode Island,5/20/22,1,0
281,2900319,Rhode Island,Rhode Island,5/21/22,1,0
307,2900319,Rhode Island,Rhode Island,5/22/22,1,0
504,2900319,Rhode Island,Rhode Island,5/23/22,1,0
426,2900319,Rhode Island,Rhode Island,5/24/22,1,0
448,2900319,Rhode Island,Rhode Island,5/25/22,1,0
310,2900319,Rhode Island,Rhode Island,5/26/22,1,0
277,2900319,Rhode Island,Rhode Island,5/27/22,1,0
286,2900319,Rhode Island,Rhode Island,5/28/22,1,0
314,2900319,Rhode Island,Rhode Island,5/29/22,1,0
546,2900319,Rhode Island,Rhode Island,5/30/22,1,0
494,2900319,Rhode Island,Rhode Island,5/31/22,1,0
320,2900319,Rhode Island,Rhode Island,6/1/22,1,0
308,2900319,Rhode Island,Rhode Island,6/2/22,1,0
199,2900319,Rhode Island,Rhode Island,6/3/22,1,0
152,2900319,Rhode Island,Rhode Island,6/4/22,1,0
184,2900319,Rhode Island,Rhode Island,6/5/22,1,0
417,2900319,Rhode Island,Rhode Island,6/6/22,1,0
319,2900319,Rhode Island,Rhode Island,6/7/22,1,0
